,COMMOPER,COD_CANT,ITEM,COMPOSITION,GROUPC,ACTIVITY,CONTRACTOR,CODE_AR,SUBCMC,UM,SPLITSUBC,INCIDENCE,ACTIVITY_QTA,LEADER_ACT,DATA_PROGR,QTA_PROGRESS,IDS,EARLYSTART,EARLYFINISH,ACHIEVED_SMH,SMH,ACHIEVED_EMH,EMH,REMAINING_EMH,NUM_OF_DAYS_REMAINING,LATE_FINISH,STATUS
0,835057,S1,2500-PC-3916-PAR-038_A,MC-PIP-0310,MC-PIP-0310A,MC031B,LARS01,R38,MC0310,KG,,30,179.343,N,21/11/24,107.964486,3714.0,19/07/24,18/11/24,8.9970405,14.94525,39.1641172965,65.05667325,25.8925559535,2.58925559535,22/12/24,delayed
1,835057,S1,PAR-039-P2,MC-STRF-1140,MC-STRF-1140A,MC114E,LARS01,R39,MC1140,KG,,5,630.091,N,12/12/24,611.18827,3759.0,30/03/24,05/09/24,55.56257,57.281,271.92321758,280.333214,8.40999642,0.840999642,20/12/24,delayed
2,835057,S1,PAR-047_PIPE_SUPPORTS,MC-SUPF-1010,MC-SUPF-1010A,MC101E,LARS01,R47,MC1010,KG,,5,539.0045,N,05/12/24,275.59300085,4042.0,08/07/24,14/09/24,36.74573344666666,71.86726666666667,122.98796984599332,240.5397415333333,117.55177168734,11.755177168734,31/12/24,delayed
3,835057,S1,PAR-017-P2,MC-STRF-1130A,MC-STRF-1130A-1,MC113D,LARS01,R17,MC1130,KG,,20,13105.702,Y,12/12/24,2227.96934,2950.0,04/05/24,09/12/24,74.26564466666666,436.8567333333333,331.1505095686666,1947.944173933333,1616.7936643646667,161.67936643646667,30/05/25,delayed
4,835057,S1,2610-FS-4011-PAR-013_A,MC-PIP-1830,MC-PIP-1830A,MC183C,LARS01,R13,MC1830,KG,,30,144.96,Y,28/11/24,143.43792,2030.0,29/06/24,23/10/24,11.95316,12.08,26.72726576,27.01088,0.28361424,0.028361424,19/12/24,delayed
5,835057,S1,PAR-025_PIPE_SUPPORTS,VP-FLP-0232,VP-FLP-0232A,VP023D,LARS01,R25,VP0232,M2,,5,70.15,N,05/12/24,26.50267,936.0,31/08/24,22/10/24,5.300534,14.03,22.569673772,59.73974,37.170066228,3.7170066228,23/12/24,delayed
6,835057,S1,PAR-024-LS,MC-STRF-1130A,MC-STRF-1130A-1,MC113C,LARS01,R24,MC1130,KG,,20,14875.448,N,12/12/24,12644.1308,819.0,27/04/24,13/12/24,421.47102666666666,495.84826666666663,2062.6792045066663,2426.681417066666,364.00221256,36.400221256,25/01/25,delayed
7,835057,S1,PAR-026-LS,MC-STRF-1130A,MC-STRF-1130A-1,MC113C,LARS01,R26,MC1130,KG,,20,7033.0,N,21/11/24,3797.82,946.0,27/04/24,10/02/25,126.594,234.4333333333333,619.551036,1147.316733333333,527.7656973333333,52.776569733333325,10/02/25,delayed
8,835057,S1,PAR-040-P1,MC-STR-2420,MC-STR-2420A,MC242C,LARS01,R40,MC2420,KG,,30,919.482,N,28/11/24,901.09236,3800.0,21/10/24,11/12/24,60.072824,61.2988,293.996400656,299.9963272,5.999926544,0.5999926544,20/12/24,delayed
9,835057,S1,PAR-051_PIPE_SUPPORTS,VP-FLP-0232,VP-FLP-0232A,VP023B,LARS01,R51,VP0232,M2,,25,117.865,N,29/11/24,89.1648725,2222.0,25/09/24,29/10/24,17.8329745,23.573,64.6801985115,85.499271,20.8190724885,2.08190724885,21/12/24,delayed
